영화명,감독,제작사,스크린수,관객수,평점,리뷰,매출액
미스터 보스,0,0,226,4267,6.42,13.73,0
프리즈너,10,0,49,1681,3.04,-3.81,0
용루각: 비정도시,0,0,22,3038,4.59,6.34,0
뺑반,5,10,1285,1826714,5.98,11.35,1
사자,7,5,1405,1609737,6.88,12.42,1
신의 한 수: 귀수편,0,5,1246,2157437,7.78,17.77,1
히트맨,5,5,1122,2406232,6.76,2.59,1
공수도,0,0,79,2950,8.76,23.58,0
얼굴없는 보스,5,0,293,23711,3.25,3.11,0
나쁜 녀석들: 더 무비,0,10,1511,4573902,6.43,9.83,1
다만 악에서 구하소서,7,10,1998,4357803,7.63,14.5,1
국제수사,0,0,1074,537470,4.63,3.78,0
극장판 미니특공대: 햄버거괴물의 습격,0,0,414,57883,8.61,13.51,0
다만 악에서 구하소서 파이널컷,10,10,475,37961,7.68,4.28,0
검객,0,10,832,190237,8.03,18.7,0
오케이 마담,0,10,1288,1228685,6.3,15.77,1
하이힐,10,0,385,341606,7.78,14.94,0
강철비2 : 정상회담 확장판,7,5,126,18306,5,0,0
반도,5,5,2575,3812250,5.65,4.62,1
태백권,0,0,62,2018,5.37,29,0
강철비2: 정상회담,5,0,2137,1790797,5,-0.39,1
봉오동 전투,7,10,1476,4787538,7.94,8.27,1
부산행:익스텐디드,5,5,88,4117,8,0,0
악인전,5,10,1307,3364360,7.87,16.73,1
전설의 파이터,0,0,1,1,5.9,0,0
싸움의 기술 2,0,0,1,1,5.03,0,0
신세계,5,10,671,4682492,8.93,23.55,1
싸움의 기술,0,0,1,1,6.4,0,0
마녀,10,7,1117,3189091,8.21,18.32,1
깡패들 무삭제,0,0,1,1,6,0,0
나는 아빠다,0,0,300,168049,0.66,9.43,0
체포왕,0,5,407,870887,7.72,23.14,0
아저씨,0,5,478,6282774,9.24,27.5,1
언니,0,5,530,198377,5.52,7.35,0
엑시트,0,10,1660,9426051,8.3,25.8,1
깡패들,0,0,1,1,6,0,0
건달티처,0,0,1,1,2.56,-11.6,0
